t,o,h,l,c,v
2024-11-21T00:00:00+01:00,7185.2001953125,7223.60009765625,7131.2099609375,7213.31982421875,53383700.0
2024-11-22T00:00:00+01:00,7250.64013671875,7271.06005859375,7156.22998046875,7255.009765625,71958600.0
2024-11-25T00:00:00+01:00,7329.47998046875,7333.22998046875,7239.3798828125,7257.47021484375,122963000.0
2024-11-26T00:00:00+01:00,7201.64990234375,7256.77978515625,7185.490234375,7194.509765625,68773200.0
2024-11-27T00:00:00+01:00,7150.02001953125,7156.419921875,7091.14990234375,7143.02978515625,77023300.0
2024-11-28T00:00:00+01:00,7170.91015625,7207.06982421875,7161.72021484375,7179.25,56381700.0
2024-11-29T00:00:00+01:00,7151.2998046875,7241.06982421875,7147.740234375,7235.10986328125,66530400.0
2024-12-02T00:00:00+01:00,7147.3701171875,7275.97021484375,7146.02001953125,7236.89013671875,98817900.0
2024-12-03T00:00:00+01:00,7244.740234375,7319.8701171875,7228.919921875,7255.419921875,73182500.0
2024-12-04T00:00:00+01:00,7261.72021484375,7322.85986328125,7257.43017578125,7303.27978515625,73097300.0
2024-12-05T00:00:00+01:00,7282.72021484375,7351.0,7282.72021484375,7330.5400390625,82651900.0
2024-12-06T00:00:00+01:00,7334.27001953125,7444.72021484375,7334.14013671875,7426.8798828125,72204700.0
2024-12-09T00:00:00+01:00,7484.5,7511.02001953125,7444.81005859375,7480.14013671875,70243900.0
2024-12-10T00:00:00+01:00,7458.2900390625,7460.22998046875,7384.8798828125,7394.77978515625,62092200.0
2024-12-11T00:00:00+01:00,7372.240234375,7437.580078125,7367.10986328125,7423.39990234375,62203700.0
2024-12-12T00:00:00+01:00,7454.7099609375,7455.2001953125,7410.72998046875,7420.93994140625,61838000.0
2024-12-13T00:00:00+01:00,7408.16015625,7460.60986328125,7388.60009765625,7409.56982421875,82858600.0
2024-12-16T00:00:00+01:00,7382.240234375,7394.33984375,7339.31005859375,7357.080078125,135807000.0
2024-12-17T00:00:00+01:00,7321.93994140625,7381.14013671875,7316.47998046875,7365.7001953125,94104400.0
2024-12-18T00:00:00+01:00,7379.330078125,7397.35009765625,7360.06005859375,7384.6201171875,81504900.0
2024-12-19T00:00:00+01:00,7289.10986328125,7326.81005859375,7261.27978515625,7294.3701171875,86813900.0
2024-12-20T00:00:00+01:00,7244.14990234375,7289.330078125,7194.490234375,7274.47998046875,156262400.0
2024-12-23T00:00:00+01:00,7259.3701171875,7291.68994140625,7233.18994140625,7272.31982421875,46296600.0
2024-12-24T00:00:00+01:00,7296.68994140625,7316.58984375,7282.68994140625,7282.68994140625,20579600.0
