t,o,h,l,c,v
2024-12-09T00:00:00+01:00,625.0109771629743,643.3706626959984,625.0109771629743,637.3158569335938,746422.0
2024-12-10T00:00:00+01:00,626.9640917508108,630.0891583348806,619.7862556641628,621.1046142578125,481366.0
2024-12-11T00:00:00+01:00,616.2217170826104,630.6750829947894,613.8779022403382,628.721923828125,437445.0
2024-12-12T00:00:00+01:00,637.3158238888041,639.6596387739153,621.8858781112733,630.8704223632812,469338.0
2024-12-13T00:00:00+01:00,627.8430470654359,633.4095030865502,621.2999518411482,624.0343627929688,423295.0
2024-12-16T00:00:00+01:00,616.1240912648483,623.1554166749918,612.7060626771497,616.4170532226562,403172.0
2024-12-17T00:00:00+01:00,612.3154282784071,625.4992532891863,611.0458866799887,620.7139892578125,410131.0
2024-12-18T00:00:00+01:00,621.9836122511015,624.6203296610738,616.5147303657054,621.5929565429688,441362.0
2024-12-19T00:00:00+01:00,609.7763379608017,618.1748988421315,609.1903544259736,612.8037109375,465932.0
2024-12-20T00:00:00+01:00,611.0458930634023,617.8819505478131,602.6472723905687,613.3896484375,764729.0
2024-12-23T00:00:00+01:00,611.6318233929759,614.7568901967666,608.8974122917934,614.4639282226562,264215.0
2024-12-24T00:00:00+01:00,615.7334662502575,618.3702432132287,615.14754230546,616.0264282226562,76311.0
2024-12-27T00:00:00+01:00,615.8310911056722,623.057804213116,615.2451671696914,620.7139892578125,254536.0
2024-12-30T00:00:00+01:00,617.4912622045046,621.2022527215726,613.2919818929356,614.5615234375,292211.0
2024-12-31T00:00:00+01:00,610.9481711690347,622.764820039284,608.5067221800189,620.6163330078125,99667.0
2025-01-02T00:00:00+01:00,622.9601256597465,624.4249950009068,604.7957100659461,620.5186767578125,374039.0
2025-01-03T00:00:00+01:00,620.1280415362568,620.9092932894956,595.3228960325313,596.9830932617188,415336.0
2025-01-06T00:00:00+01:00,600.3034682173284,628.8196033267668,598.9362329893135,619.7373657226562,611624.0
2025-01-07T00:00:00+01:00,621.3976136360858,631.0657759240898,617.5889887996683,629.4055786132812,432713.0
2025-01-08T00:00:00+01:00,628.6242820796127,629.8938236013929,615.5380919795726,620.8116455078125,380525.0
2025-01-09T00:00:00+01:00,615.5381368034531,633.8978221630103,614.9522128601755,632.8236083984375,408809.0
2025-01-10T00:00:00+01:00,629.9914939837747,639.6596561402314,627.3547766735503,629.8938598632812,410414.0
2025-01-13T00:00:00+01:00,626.9641341043554,633.4095359397871,623.6437394584109,631.2611083984375,293771.0
2025-01-14T00:00:00+01:00,642.2964525589642,646.8863888696385,635.7533569335938,635.7533569335938,466755.0
2025-01-15T00:00:00+01:00,633.2142540373404,638.0971521727126,622.2765502929688,622.2765502929688,528879.0
2025-01-16T00:00:00+01:00,673.8399327358353,684.2893465124419,662.1209773839078,679.2111206054688,1078089.0
2025-01-17T00:00:00+01:00,674.9141406393838,683.1174331571707,669.5429528161324,673.9375610351562,714731.0
2025-01-20T00:00:00+01:00,673.8399245526456,679.8947299987491,664.9530740276325,667.1015014648438,418509.0
2025-01-21T00:00:00+01:00,667.9804294114437,684.875244140625,667.1014839515223,684.875244140625,521381.0
2025-01-22T00:00:00+01:00,683.6057327215908,697.5708093403368,681.4572456404708,697.08251953125,617979.0
2025-01-23T00:00:00+01:00,698.3520179980636,704.5045168972594,692.2972724237533,703.7232055664062,575485.0
2025-01-24T00:00:00+01:00,732.434744926915,732.434744926915,708.21558128247,716.9071044921875,713005.0
2025-01-27T00:00:00+01:00,717.9813175349568,737.1222534179688,711.5358565579276,737.1222534179688,633190.0
2025-01-28T00:00:00+01:00,731.7510883136191,744.8372789023857,728.8213494897777,733.0206298828125,567637.0
2025-01-29T00:00:00+01:00,703.6256011838698,705.2857984235537,683.6057194014003,696.49658203125,984398.0
2025-01-30T00:00:00+01:00,701.5747871775569,702.063076962729,694.152746679529,699.03564453125,420057.0
2025-01-31T00:00:00+01:00,700.1099330452142,701.1841467536758,682.4338066742226,687.0237426757812,578611.0
2025-02-03T00:00:00+01:00,669.0546630140185,677.5509174919359,667.2968316475467,673.9375610351562,695311.0
2025-02-04T00:00:00+01:00,676.0860288974333,679.0157676269663,666.906216641642,676.4766845703125,370853.0
2025-02-05T00:00:00+01:00,671.8868141285532,675.5001708349762,664.0741767549654,669.9336547851562,356956.0
2025-02-06T00:00:00+01:00,668.7617198342203,683.0198182197553,663.0975698917762,680.578369140625,485215.0
2025-02-07T00:00:00+01:00,678.722829119496,679.69940872974,666.8085459533829,668.17578125,401010.0
2025-02-10T00:00:00+01:00,668.3711141076002,671.0078313904892,662.902232485791,669.25,336364.0
2025-02-11T00:00:00+01:00,665.9297037809428,671.2031982590122,661.9256913526956,669.1524047851562,297413.0
2025-02-12T00:00:00+01:00,671.7891610129801,674.9141681895208,656.2615208296452,671.6914672851562,443368.0
2025-02-13T00:00:00+01:00,682.433792717172,692.1995884332325,678.2345124804033,690.6370849609375,501427.0
2025-02-14T00:00:00+01:00,703.1373268758766,706.0670657378595,694.4457444097184,696.30126953125,594098.0
2025-02-17T00:00:00+01:00,691.4183237370813,693.6644447885363,681.9454901489248,685.070556640625,336521.0
2025-02-18T00:00:00+01:00,688.6839974416704,691.0277528938662,682.8245194026415,688.5863037109375,338875.0
2025-02-19T00:00:00+01:00,686.4378894105176,687.3167753699798,672.3751180021814,674.7189331054688,426698.0
2025-02-20T00:00:00+01:00,669.5429585978528,683.2150731751017,669.4453244788625,679.2111206054688,333595.0
2025-02-21T00:00:00+01:00,679.2111009511369,690.5394002879176,679.2111009511369,685.9495239257812,459121.0
2025-02-24T00:00:00+01:00,684.9729235793495,685.4612133567498,672.3750234801487,675.8906860351562,364363.0
2025-02-25T00:00:00+01:00,672.9609855767816,674.3282208733987,667.1992016397561,668.17578125,348738.0
2025-02-26T00:00:00+01:00,677.7463025707018,690.3442043714261,676.3790671670425,683.8987426757812,384656.0
2025-02-27T00:00:00+01:00,672.8633569777426,681.5549394224885,669.9336181229774,676.8673095703125,394320.0
2025-02-28T00:00:00+01:00,667.4922119354161,678.625244140625,664.2695109093903,678.625244140625,864547.0
2025-03-03T00:00:00+01:00,675.0118715257864,684.4847061294554,668.9570657250924,674.6212158203125,481251.0
2025-03-04T00:00:00+01:00,664.9531124826232,666.9062717971785,646.5933672412499,651.769287109375,615046.0
2025-03-05T00:00:00+01:00,664.3670950078089,665.441368339386,648.7418212890625,648.7418212890625,593863.0
2025-03-06T00:00:00+01:00,654.1130699785069,654.1130699785069,631.1634470692181,637.70654296875,639967.0
2025-03-07T00:00:00+01:00,632.5306177866478,632.6282519042096,613.8779116943306,619.8350830078125,809708.0
2025-03-10T00:00:00+01:00,621.2999291949196,625.0109196089605,610.0692642331961,615.5380859375,643780.0
2025-03-11T00:00:00+01:00,620.9093145124434,620.9093145124434,602.0613396450188,606.2606201171875,538927.0
2025-03-12T00:00:00+01:00,609.8739470861698,610.7528925495457,591.4165692007747,597.4713745117188,594281.0
2025-03-13T00:00:00+01:00,591.807268126937,602.354316429843,584.5805548718891,590.8306884765625,696157.0
2025-03-14T00:00:00+01:00,589.8541309132034,604.8934819343937,586.0454462918506,590.9283447265625,583739.0
2025-03-17T00:00:00+01:00,591.2213735130513,596.8855238451177,585.9478192970996,595.420654296875,431806.0
2025-03-18T00:00:00+01:00,598.2527064503705,601.7684291694741,593.9557914901708,595.713623046875,456803.0
2025-03-19T00:00:00+01:00,593.6627821896288,600.4011458876338,591.0260052618485,596.2994995117188,412984.0
2025-03-20T00:00:00+01:00,591.4166210153016,596.8855029002534,587.0220125247813,590.3424072265625,443424.0
2025-03-21T00:00:00+01:00,586.8267176413066,588.3892211914062,579.6000046092939,588.3892211914062,1133127.0
2025-03-24T00:00:00+01:00,591.5142838304615,595.127640321625,581.7484876952573,582.3344116210938,416599.0
2025-03-25T00:00:00+01:00,583.99463567989,591.3189831173469,582.2368042160389,584.28759765625,455181.0
2025-03-26T00:00:00+01:00,582.8227203841078,586.0454212924054,577.9398221576898,580.5765991210938,427920.0
2025-03-27T00:00:00+01:00,576.6702748830427,580.4789593045634,572.4709943706549,575.3030395507812,500514.0
2025-03-28T00:00:00+01:00,571.006098262756,576.1819581692405,567.1974140190232,573.349853515625,619971.0
2025-03-31T00:00:00+02:00,566.4162072304185,568.3693665656958,554.5996170942678,558.3106079101562,657683.0
2025-04-01T00:00:00+02:00,565.5372389234752,565.7325667702792,558.701181525167,561.6309204101562,485067.0
2025-04-02T00:00:00+02:00,559.2871885220937,564.4630488481789,557.9199531428142,561.7286376953125,423436.0
2025-04-03T00:00:00+02:00,548.5448052594139,549.8143468923787,528.6225564142871,530.1851196289062,907025.0
2025-04-04T00:00:00+02:00,531.4545996459307,535.0679558790517,509.4815599108923,517.587158203125,1173669.0
2025-04-07T00:00:00+02:00,488.28981141567834,526.9623406375241,471.2484850761332,495.7118225097656,1529400.0
2025-04-08T00:00:00+02:00,505.2823128203805,514.4621253685137,489.55934537442465,507.6260681152344,902072.0
2025-04-09T00:00:00+02:00,485.06712738724997,498.6415786543413,482.5768313810436,486.727294921875,984156.0
