t,o,h,l,c,v
2024-12-09T00:00:00+01:00,152.7855862603968,154.07655899116017,151.55329207330462,153.5093231201172,1091176.0
2024-12-10T00:00:00+01:00,153.626680164338,153.86140926228936,152.4139355432549,152.76602172851562,1411830.0
2024-12-11T00:00:00+01:00,152.76603154195584,153.43108990054066,151.98361608852284,152.80516052246094,931725.0
2024-12-12T00:00:00+01:00,152.9225057332957,156.38467407226562,152.9225057332957,156.38467407226562,1077016.0
2024-12-13T00:00:00+01:00,155.62182405829245,157.304011938899,155.32843134229444,156.69764709472656,1388272.0
2024-12-16T00:00:00+01:00,156.07172963455218,156.61941597718916,154.11569845465806,154.38954162597656,1254312.0
2024-12-17T00:00:00+01:00,156.20864681218112,157.4213914818933,154.91765910668107,155.05458068847656,1519491.0
2024-12-18T00:00:00+01:00,154.72205985453428,156.4629263715006,154.72205985453428,155.3675537109375,1005190.0
2024-12-19T00:00:00+01:00,154.5068890660018,155.6022766061574,153.07899475097656,153.07899475097656,1388581.0
2024-12-20T00:00:00+01:00,152.17922294245383,152.92250937532123,149.49945500895927,151.3772430419922,2249485.0
2024-12-23T00:00:00+01:00,150.92736596486426,151.29900172384492,149.79286435183664,150.51658630371094,968295.0
2024-12-24T00:00:00+01:00,150.34054837584023,151.2989994161357,150.28186983180845,150.32098388671875,187550.0
2024-12-27T00:00:00+01:00,150.61439527690868,151.8858184814453,150.02757997532777,151.8858184814453,773490.0
2024-12-30T00:00:00+01:00,150.86866619972017,152.3161398897206,150.63395202980936,150.9860382080078,753659.0
2024-12-31T00:00:00+01:00,149.85154119786122,151.5728431639749,149.79286265359968,151.3772430419922,278864.0
2025-01-02T00:00:00+01:00,152.2770236953461,156.9715014909573,152.19878065769697,156.61941528320312,1636969.0
2025-01-03T00:00:00+01:00,155.7978765976712,155.95436266375364,154.5655674814377,155.0937042236328,1040083.0
2025-01-06T00:00:00+01:00,155.13282157303277,156.13040161132812,152.3552609960793,156.13040161132812,1345018.0
2025-01-07T00:00:00+01:00,156.1108284122471,156.65851470127825,153.80271124894992,154.9176483154297,1585470.0
2025-01-08T00:00:00+01:00,154.60469645962465,156.24775538349243,154.13525318470994,155.0937042236328,1077965.0
2025-01-09T00:00:00+01:00,154.54602486511646,155.97391924316187,153.13768005371094,153.13768005371094,874104.0
2025-01-10T00:00:00+01:00,154.9176598658927,156.03259701550076,153.47020100505645,154.09613037109375,1064221.0
2025-01-13T00:00:00+01:00,153.6266804597906,153.9396376676617,150.8882340050886,152.02273559570312,1118878.0
2025-01-14T00:00:00+01:00,152.78558664254967,154.1352528436926,151.88581414956525,152.5508575439453,960941.0
2025-01-15T00:00:00+01:00,152.5704185482347,153.84184168746978,150.9860382080078,150.9860382080078,1796913.0
2025-01-16T00:00:00+01:00,152.6095322504147,154.66337077239453,151.65108123771248,153.74403381347656,1009475.0
2025-01-17T00:00:00+01:00,154.48733486218077,157.91038911031765,154.3504132891886,157.24533081054688,1666035.0
2025-01-20T00:00:00+01:00,157.20622648777427,160.766202529263,157.10841896244042,159.82730102539062,1146737.0
2025-01-21T00:00:00+01:00,159.4165380228366,159.88598131823557,158.08643624976182,159.70994567871094,974763.0
2025-01-22T00:00:00+01:00,159.78818893243798,161.50949096679688,159.0253379801274,161.50949096679688,1057154.0
2025-01-23T00:00:00+01:00,162.35058463335784,163.11343558415393,160.64883216901785,162.99607849121094,870632.0
2025-01-24T00:00:00+01:00,163.32859224419764,163.7980355164263,162.5853058195579,163.36770629882812,716160.0
2025-01-27T00:00:00+01:00,162.50706392944946,163.75892261308192,159.94465309482732,162.194091796875,989379.0
2025-01-28T00:00:00+01:00,161.52905071140617,163.75892495624115,161.33345058741472,163.13299560546875,794920.0
2025-01-29T00:00:00+01:00,162.8200181226338,164.34571993234067,162.4483823762516,162.95693969726562,717277.0
2025-01-30T00:00:00+01:00,163.36771645039354,163.6611241100183,162.29190826288067,162.66355895996094,1001567.0
2025-01-31T00:00:00+01:00,163.32859627901746,165.3433059172409,162.76134547120054,163.44595336914062,1321658.0
2025-02-03T00:00:00+01:00,159.9446558044041,163.11343154540472,159.24049834084798,162.91783142089844,1487261.0
2025-02-04T00:00:00+01:00,163.97409262906717,164.42397143030811,161.45081068949906,162.37014770507812,717977.0
2025-02-05T00:00:00+01:00,161.37256561050975,163.2307891845703,161.13783650631277,163.2307891845703,815149.0
2025-02-06T00:00:00+01:00,163.68067945039567,164.4044163139018,162.54617785571017,164.20880126953125,806730.0
2025-02-07T00:00:00+01:00,164.48264515113684,164.61958165213494,162.70266464148693,163.25035095214844,887988.0
2025-02-10T00:00:00+01:00,162.780910839739,164.18925562215438,162.60486028027057,163.75892639160156,785898.0
2025-02-11T00:00:00+01:00,164.1696915649384,164.32617763524846,162.44838956152697,163.54376220703125,699736.0
2025-02-12T00:00:00+01:00,164.6195771290747,166.16482849598432,163.9936328788511,166.14527893066406,775257.0
2025-02-13T00:00:00+01:00,166.26263699853382,167.16240947854953,164.91297081684405,166.24307250976562,1234015.0
2025-02-14T00:00:00+01:00,164.52177789563765,166.1061583196531,164.11101315323856,164.815185546875,1054827.0
2025-02-17T00:00:00+01:00,164.9912170096631,167.86658505704855,164.658695310895,166.75164794921875,1214483.0
2025-02-18T00:00:00+01:00,168.2186702662121,170.1747013158192,167.8079055365945,169.19668579101562,1260936.0
2025-02-19T00:00:00+01:00,168.70768795649565,169.6465894818246,165.1085977766238,165.20639038085938,1349752.0
2025-02-20T00:00:00+01:00,163.56332279282887,164.69780946716693,159.63169617929137,161.4508056640625,1911043.0
2025-02-21T00:00:00+01:00,159.41652946472166,160.5510310474201,156.22820424782694,156.48248291015625,1839648.0
2025-02-24T00:00:00+01:00,157.7147764651656,161.196524231707,157.2257687080108,160.72706604003906,1166045.0
2025-02-25T00:00:00+01:00,161.0791557139866,162.78090811817543,159.8468615116426,160.4923553466797,1111791.0
2025-02-26T00:00:00+01:00,161.37257003198317,164.54134587046576,161.1378409213548,163.83717346191406,1066473.0
2025-02-27T00:00:00+01:00,163.77849425708814,164.05233742338768,159.5338953327789,161.50949096679688,1237293.0
2025-02-28T00:00:00+01:00,161.13783767202784,162.66355447534616,161.00091609108898,162.0571746826172,2890885.0
2025-03-03T00:00:00+01:00,164.3066122234115,173.40215981330263,163.36771073015404,170.54635620117188,3087355.0
2025-03-04T00:00:00+01:00,170.64414945288934,170.8006355229179,164.2088053254619,165.0303497314453,1762947.0
2025-03-05T00:00:00+01:00,169.19668621630956,170.44854489733817,168.0035060791834,168.9815216064453,1467081.0
2025-03-06T00:00:00+01:00,171.15272367537028,171.15272367537028,164.6587009282781,169.25537109375,1459640.0
2025-03-07T00:00:00+01:00,170.9179835270922,170.9179835270922,164.83472591897268,165.83230590820312,1382893.0
2025-03-10T00:00:00+01:00,166.82989224967864,167.8665863321436,159.4947757152573,159.5338897705078,1971321.0
2025-03-11T00:00:00+01:00,161.45080855574196,161.7637657711648,157.96907559041492,159.41653442382812,1320618.0
2025-03-12T00:00:00+01:00,161.2356417812682,164.2088024429551,159.94465411119404,160.4923553466797,1606967.0
2025-03-13T00:00:00+01:00,161.35300411682235,161.41168266312783,158.6536865234375,158.6536865234375,1199586.0
2025-03-14T00:00:00+01:00,158.47762983644338,165.65627516482078,158.12554364888445,165.480224609375,1467306.0
2025-03-17T00:00:00+01:00,166.16483539905687,168.06218794720613,165.65627805962137,167.4753875732422,1081848.0
2025-03-18T00:00:00+01:00,168.2186741357572,168.4142742605508,166.12572146146658,168.00350952148438,1300826.0
2025-03-19T00:00:00+01:00,167.82748053645992,168.59033149971654,166.26264962943768,167.53407287597656,1076817.0
2025-03-20T00:00:00+01:00,166.8298905145129,167.27976930021194,161.70508377669952,163.68067932128906,1092316.0
2025-03-21T00:00:00+01:00,162.44839487323426,163.79804623462323,161.25521466393857,162.9765167236328,2190245.0
2025-03-24T00:00:00+01:00,164.60002079662453,165.55847186144075,162.52661767334897,163.54376220703125,728663.0
2025-03-25T00:00:00+01:00,163.68068303455664,168.53164672851562,163.54376145449865,168.53164672851562,960604.0
2025-03-26T00:00:00+01:00,167.74923750353676,167.88615908865506,165.59760619882024,166.790771484375,819111.0
2025-03-27T00:00:00+01:00,164.34573232862243,165.91056323387483,162.5853162143804,164.99122619628906,967418.0
2025-03-28T00:00:00+01:00,163.50463090493798,164.2870463220397,161.68553632592577,162.6048583984375,996791.0
2025-03-31T00:00:00+02:00,161.0595938173072,161.35300146735,158.04731905197795,159.2013702392578,1228522.0
2025-04-01T00:00:00+02:00,159.9642253156037,164.36529541015625,159.57302505431016,164.36529541015625,1195927.0
2025-04-02T00:00:00+02:00,163.32860299011872,164.03277540645777,157.22578035629147,159.16226196289062,1375077.0
2025-04-03T00:00:00+02:00,152.55086044012887,155.71963617645014,150.32098619271747,154.5460205078125,1962518.0
2025-04-04T00:00:00+02:00,153.6853552984959,153.82227687176345,141.55796905004007,143.67047119140625,2910456.0
2025-04-07T00:00:00+02:00,129.31321336855075,146.70232813645907,123.62116333532278,133.7925262451172,3896651.0
2025-04-08T00:00:00+02:00,136.3353617240557,139.7975451287161,134.966145923154,137.1569061279297,2026118.0
2025-04-09T00:00:00+02:00,132.99055594639023,134.98571611000833,128.6286147656047,130.54551696777344,2103551.0
2025-04-10T00:00:00+02:00,146.89793591912738,146.97617895568172,136.1397646279041,136.39405822753906,2556537.0
2025-04-11T00:00:00+02:00,138.4870020211241,138.56523012929887,130.42814885588012,131.89517211914062,1972263.0
2025-04-14T00:00:00+02:00,136.23756953094815,136.76569136335348,134.3011029143512,136.1984405517578,1621814.0
2025-04-15T00:00:00+02:00,135.94415450027088,138.40875773880882,135.43558226173684,137.8415069580078,1815889.0
2025-04-16T00:00:00+02:00,137.0982064637571,137.43074307751965,135.51382611955108,137.4111785888672,1490715.0
2025-04-17T00:00:00+02:00,137.54810449436502,137.763269106321,132.40374814335593,133.4600067138672,1563744.0
2025-04-22T00:00:00+02:00,133.82000732421875,133.82000732421875,131.89999389648438,133.05999755859375,1951154.0
2025-04-23T00:00:00+02:00,135.5,141.5,135.1999969482422,138.83999633789062,1840997.0
2025-04-24T00:00:00+02:00,138.83999633789062,139.3000030517578,136.82000732421875,137.25999450683594,1392522.0
2025-04-25T00:00:00+02:00,139.5,141.5800018310547,138.89999389648438,140.60000610351562,1438906.0
2025-04-28T00:00:00+02:00,142.66000366210938,145.97999572753906,142.4199981689453,144.32000732421875,1559982.0
2025-04-29T00:00:00+02:00,145.0800018310547,146.1199951171875,143.5,143.97999572753906,1152085.0
2025-04-30T00:00:00+02:00,143.97999572753906,147.5399932861328,143.86000061035156,147.13999938964844,1978356.0
2025-05-02T00:00:00+02:00,152.8800048828125,155.4600067138672,151.27999877929688,154.9600067138672,2677637.0
2025-05-05T00:00:00+02:00,155.60000610351562,158.86000061035156,155.39999389648438,158.27999877929688,1002487.0
2025-05-06T00:00:00+02:00,159.0,159.1999969482422,153.47999572753906,156.63999938964844,1209920.0
2025-05-07T00:00:00+02:00,156.8800048828125,157.10000610351562,153.75999450683594,154.5800018310547,1225512.0
