t,o,h,l,c,v
2024-12-09T00:00:00+01:00,339.4980775414193,346.37349077664027,339.39985135746014,343.47601318359375,586505.0
2024-12-10T00:00:00+01:00,339.98916977593524,342.1991239734922,338.0493150965286,339.1051940917969,519136.0
2024-12-11T00:00:00+01:00,335.9130369663937,337.97566687247524,334.93083510391887,335.42193603515625,470206.0
2024-12-12T00:00:00+01:00,336.89525791384136,338.4176588971519,335.2255026632744,338.3685607910156,516092.0
2024-12-13T00:00:00+01:00,336.9934632075696,338.3685398127953,334.1450838165118,337.239013671875,555546.0
2024-12-16T00:00:00+01:00,334.7343926213153,335.8639487760378,332.96644120644845,335.5201721191406,354278.0
2024-12-17T00:00:00+01:00,333.9486258683041,339.79273881076796,333.70307540810677,338.7123107910156,480963.0
2024-12-18T00:00:00+01:00,338.7123368766393,339.64541071259595,335.6184068347616,335.9130554199219,480048.0
2024-12-19T00:00:00+01:00,330.11805509837274,334.2924130534154,329.4796298766036,333.3102111816406,484848.0
2024-12-20T00:00:00+01:00,332.76999142834427,333.5557709322853,329.0867343066857,330.95294189453125,865736.0
2024-12-23T00:00:00+01:00,330.2653738455364,332.7208784837932,327.711643026865,332.0333251953125,248220.0
2024-12-24T00:00:00+01:00,333.70307387031755,334.58704952806994,332.91732439107574,333.8013000488281,59963.0
2024-12-27T00:00:00+01:00,332.4262511761824,338.3685607910156,331.7386978437316,338.3685607910156,384340.0
2024-12-30T00:00:00+01:00,337.38633472754833,337.38633472754833,331.10024889635895,331.3948974609375,261837.0
2024-12-31T00:00:00+01:00,329.9216034138672,336.1585913073691,329.6269548414968,335.7657165527344,117420.0
2025-01-02T00:00:00+01:00,335.7657155114133,335.7657155114133,327.56432389575065,332.08245849609375,220964.0
2025-01-03T00:00:00+01:00,331.9351472865106,332.7208968242967,326.0419358298441,326.0910339355469,308727.0
2025-01-06T00:00:00+01:00,326.82766274446567,334.7343755784174,324.3230600385216,331.9842224121094,369183.0
2025-01-07T00:00:00+01:00,331.0020322664963,335.86394354326575,329.2340808791742,330.265380859375,428812.0
2025-01-08T00:00:00+01:00,326.5821117095239,327.31876308931976,320.29602593014965,325.5508117675781,437464.0
2025-01-09T00:00:00+01:00,321.96576415022895,328.0063296894406,321.4255651062061,325.9927978515625,292029.0
2025-01-10T00:00:00+01:00,324.27393103282844,325.69813568862816,320.0504751164357,321.5728759765625,373383.0
2025-01-13T00:00:00+01:00,319.90315719610675,323.43905990598523,318.2825001505868,322.5550842285156,308029.0
2025-01-14T00:00:00+01:00,326.58212975048644,326.58212975048644,320.3942698081412,320.83624267578125,334732.0
2025-01-15T00:00:00+01:00,320.88537521285537,327.0241371355499,317.93876948996206,323.6355285644531,511551.0
2025-01-16T00:00:00+01:00,331.0020170957873,335.27460105615125,329.87249098485506,332.8681945800781,541867.0
2025-01-17T00:00:00+01:00,335.32371790479,338.81055258494405,332.1315617751065,337.3372497558594,497094.0
2025-01-20T00:00:00+01:00,337.3372338548977,338.0738852347167,332.9173255759835,334.734375,280048.0
2025-01-21T00:00:00+01:00,334.8326102737747,336.4532373585127,332.6226560742896,335.1272888183594,252084.0
2025-01-22T00:00:00+01:00,334.292414427529,345.8823845723427,333.94863777611033,343.4268798828125,566359.0
2025-01-23T00:00:00+01:00,343.08309481943445,348.3870087983125,341.3151434760896,348.2396545410156,564561.0
2025-01-24T00:00:00+01:00,353.39623056388234,362.1378514270437,352.0702819824219,352.0702819824219,717190.0
2025-01-27T00:00:00+01:00,350.351430702125,357.3741683119315,349.4674250101078,356.6866149902344,524422.0
2025-01-28T00:00:00+01:00,356.68659337233254,361.794054946872,355.80261770831424,361.0574035644531,417633.0
2025-01-29T00:00:00+01:00,355.5570637594281,356.7357179495041,349.71295085980165,350.00762939453125,427124.0
2025-01-30T00:00:00+01:00,350.8425100544563,359.9769751979509,350.64605769623046,357.0794677734375,332133.0
2025-01-31T00:00:00+01:00,357.9634981204027,359.04389624195784,350.15498094545416,352.119384765625,640374.0
2025-02-03T00:00:00+01:00,343.42686434193547,348.82897441444373,342.88666532445313,347.5521240234375,368901.0
2025-02-04T00:00:00+01:00,346.8154947648247,348.3378957107491,342.83755910948764,344.4090881347656,421300.0
